,nodeid1,nodeid2
579,63155,86949
580,85856,59195
581,88260,27072
582,36959,45762
583,102093,126547
584,143409,71608
585,117832,59957
586,101504,126950
587,67555,87537
588,21826,96433
589,83327,36436
590,9545,22145
591,67161,105049
592,114362,112223
593,74345,46192
594,131591,127284
595,98951,129445
596,56066,117741
597,15644,113291
598,4999,100656
599,66097,64437
600,54973,54363
601,68983,38682
602,74750,134447
603,114064,107133
604,5704,88810
605,130282,13496
606,53069,95918
607,85338,17968
608,100987,138529
609,143185,102760
610,30249,139833
611,105080,80001
612,5250,46795
613,35326,126884
614,26794,14773
615,135264,130210
616,97845,101212
617,133783,122637
618,25455,96078
619,126197,114269
620,37376,84887
621,106042,109634
622,99060,50555
623,36075,26409
624,136416,51500
625,4255,131715
626,36771,103106
627,78067,15338
628,106615,64972
629,48294,86833
630,92074,15028
631,122666,21071
632,22859,121860
633,95549,34834
634,22281,29531
635,34041,38603
636,136542,28966
637,118553,102065
638,111522,135936
639,94554,11832
640,32170,139653
641,79122,95402
642,54624,57383
643,37223,90465
644,14706,107213
645,128967,4997
646,60715,115063
647,118455,68563
648,118623,131296
649,14903,135646
650,55251,144155
651,34392,114191
652,56446,29191
653,27472,29238
654,112164,36955
655,112599,34732
656,21916,12514
657,28456,83478
658,59275,111307
659,142782,82392
660,132080,64099
661,36068,96931
662,27249,16882
663,112317,4172
664,10409,48010
665,86576,90264
666,28345,118224
667,26585,80412
668,40034,94928
669,91207,20689
670,144193,8635
671,35745,77973
672,46814,74167
673,115084,127204
674,145232,76191
675,76328,102130
676,21323,92003
677,28678,78597
678,69034,32511
679,24568,63904
680,75058,90064
681,26259,84933
682,63600,109697
683,19779,96656
684,124026,4014
685,115001,35333
686,38280,129342
687,36357,119040
688,117785,16825
689,62619,89412
690,98407,117560
691,67128,122582
692,118336,121797
693,36964,37711
694,78150,11359
695,116474,11003
696,127354,122059
697,24241,95970
698,53661,129701
699,62329,13610
700,19901,9442
701,73452,48623
702,111340,6987
703,62173,2540
704,26402,130961
705,35592,138470
706,98925,16199
707,49069,91278
708,47552,142659
709,6350,64597
710,80565,131088
711,79061,140916
712,144569,144162
713,29925,130600
714,75215,96706
715,86582,89802
716,84581,61681
717,45637,43430
718,18719,45044
719,121034,73658
720,83596,92680
721,19651,115586
722,20007,97774
723,95299,98605
724,34334,39501
725,94686,50569
726,55255,97958
727,88937,71028
728,130061,21924
729,95127,109897
730,141863,106027
731,117776,25274
732,126026,114516
733,83932,125521
734,15194,131567
735,20449,59999
736,140778,3530
737,110320,64306
738,34978,105299
739,122327,122327
740,131441,46317
741,121602,25094
742,137130,99037
743,49406,130183
744,132773,5726
745,65308,126049
746,125590,137682
747,101678,33043
748,17627,100897
749,139202,39288
750,141595,85810
751,52604,32720
752,101492,20661
753,37710,104272
754,145276,49924
755,30621,8621
756,54290,101264
757,139737,62639
758,12131,64154
759,55004,42470
760,78305,42371
761,8135,47690
762,130116,11401
763,141518,67607
764,72500,121244
765,57949,139528
766,56008,18602
767,41274,117374
768,6163,15660
769,76658,133249
770,207,127526
771,96488,118603
772,51398,45056
773,143133,50909
774,75398,111102
775,14038,93909
776,11564,48847
777,143311,144744
778,18089,115446
779,63374,2966
780,89526,131522
781,76772,29236
782,52064,139054
783,104029,3605
784,112520,128980
785,105587,120375
786,88000,69509
787,61912,48433
788,98139,87720
789,35424,144456
790,10325,118728
791,83928,62980
792,72715,31726
793,139896,12642
794,17391,73651
795,119860,117230
796,99862,138759
797,65230,18408
798,43819,95447
799,8992,7710
800,105889,13415
801,96997,40494
802,31779,59173
803,91861,56101
804,118177,39929
805,131137,39349
806,143326,94665
807,112003,31949
808,10346,12552
809,122566,118247
810,15416,59473
811,140125,131721
812,34387,103632
813,72785,141604
814,80448,98739
815,106735,66790
816,116182,29992
817,100160,142716
818,102636,130055
819,8021,88981
820,42049,136034
821,35132,111344
822,83008,118788
823,107126,97723
824,144984,73106
825,132656,116943
826,132099,50373
827,51313,115986
828,24721,84756
829,116899,60940
830,61628,145053
831,117437,4103
832,44343,55751
833,127802,87380
834,68164,71731
835,99362,31272
836,45346,88259
837,46927,103937
838,98864,99843
839,7346,18986
840,86209,101383
841,6859,95707
842,144739,73598
843,81966,13830
844,21482,75303
845,20170,141553
846,121426,36508
847,90145,118037
848,57618,12130
849,34138,26583
850,93065,20343
851,74398,6961
852,11338,49754
853,20037,43799
854,58070,4089
855,3915,83306
856,139750,131252
857,98565,104712
858,135950,120379
859,89003,119004
860,44228,58404
861,30297,59293
862,106337,30040
863,26153,89790
864,104149,55237
865,18589,63496
866,105110,36947
867,137508,114347
868,58458,68570
869,98482,141852
870,88199,95679
871,14496,131346
872,144981,10777
873,9303,61570
874,126726,102771
875,9033,11212
876,84584,69230
877,103057,103057
878,33297,126167
879,57697,13030
880,120158,22470
881,52521,81028
882,130042,23837
883,2357,14048
884,39284,54238
885,126988,73823
886,144470,130090
887,36860,13579
888,606,41859
889,110767,110767
890,78126,16206
891,42806,27757
892,116066,5651
893,42738,65686
894,3354,63148
895,43073,67337
896,6782,134562
897,136031,95091
898,80018,131075
899,134564,6079
900,50002,83596
901,53674,129521
902,37546,61177
903,55133,39057
904,100686,92776
905,133860,114664
906,23649,38041
907,144291,39965
908,30714,51381
909,69819,10383
910,72599,40974
911,120320,105984
912,43154,21864
913,104972,104087
914,121242,91600
915,130365,66516
916,111257,95956
917,17299,57386
918,42525,63716
919,65009,62777
920,11025,3667
921,82202,116865
922,92138,71092
923,18531,33347
924,11369,56756
925,25424,100176
926,14127,116796
927,105340,17334
928,30528,132062
929,128030,42758
930,118491,60153
931,46717,98397
932,85815,122974
933,136795,4878
934,107476,9282
935,140955,39529
936,3396,82680
937,47183,102622
938,16226,13352
939,84091,81829
940,80501,6539
941,23156,83716
942,122336,122343
943,122325,94516
944,121533,76356
945,56582,16288
946,827,49409
947,87102,130253
948,99541,82678
949,97053,35914
950,44240,39707
951,41957,93881
952,8664,115890
953,35972,3636
954,144502,35402
955,17408,17932
956,29133,43195
957,3623,79487
958,20493,140645
959,4673,40553
960,99886,112931
961,111539,32765
962,109847,126348
963,104112,138332
964,17822,142963
965,76243,24877
966,103612,33314
967,123841,73918
968,25654,20386
969,56430,121739
970,50653,136371
971,37241,25666
972,72926,64849
973,50410,42246
974,187,30706
975,31046,92603
976,133278,103220
977,42792,102197
978,74484,105258
979,135578,105065
980,77968,127131
981,69088,60663
982,61189,130427
983,96659,72144
984,44366,97074
985,11628,119010
986,73924,117684
987,110343,3752
988,139549,129344
989,137205,107632
990,61064,105173
991,135793,82195
992,105893,33055
993,13918,16633
994,69190,67131
995,79811,15059
996,121427,29503
997,40376,24038
998,67861,36891
999,42020,15132
1000,77905,50546
1001,137962,105893
1002,13901,18987
1003,33738,56508
1004,53901,75651
1005,39750,117509
1006,65809,86251
1007,2873,57548
1008,64165,122905
1009,52518,31401
1010,97159,792
1011,133643,39595
1012,50416,98596
1013,67869,118053
1014,82196,123502
1015,122502,133678
1016,30595,12326
1017,103212,19593
1018,118789,40877
1019,39434,89483
1020,80872,63897
1021,11823,137861
1022,132355,79782
1023,95377,94947
1024,114803,130985
1025,46232,51614
1026,126640,3252
1027,92356,47821
1028,3690,9558
1029,93124,91965
1030,27413,74836
1031,89200,140510
1032,3217,45899
1033,67941,132876
1034,65873,138178
1035,37971,130036
1036,83089,66957
1037,2475,87527
1038,62218,132428
1039,17822,139226
1040,67659,76626
1041,69324,85624
1042,83365,124962
1043,107592,99016
1044,679,58039
1045,51777,123362
1046,65829,25255
1047,90505,118471
1048,114869,41395
1049,19358,136242
1050,140673,1704
1051,35517,28205
1052,141185,92968
1053,29573,6679
1054,44967,132625
1055,99811,84889
1056,61395,9431
1057,119924,127902
1058,139792,142331
1059,114687,88013
1060,101520,50850
1061,80310,22450
1062,137825,42866
1063,87565,35582
1064,27255,38425
1065,132201,30937
1066,108511,80007
1067,9844,15026
1068,49306,51403
1069,100635,66163
1070,102267,116949
1071,107234,104886
1072,126015,81401
1073,28391,36880
1074,72703,65395
1075,88774,61918
1076,19095,27341
1077,136270,136567
1078,131484,42300
1079,97228,126756
1080,61208,143273
1081,28960,25655
1082,78652,32152
1083,139716,128245
1084,50494,12942
1085,145228,55837
1086,75444,12229
1087,70515,92591
1088,50530,86491
1089,113820,35452
1090,127013,80865
1091,122014,128561
1092,122324,100348
1093,95295,65232
1094,69669,42724
1095,99645,75599
1096,85446,12773
1097,78863,98046
1098,98732,123560
1099,1646,76807
1100,40617,84392
1101,131279,62808
1102,58519,18757
1103,50442,90492
1104,25359,95959
1105,106967,64942
1106,105445,134322
1107,292,44340
1108,58958,65547
1109,8738,137062
1110,79464,96997
1111,15910,110798
1112,125643,137709
1113,124710,105185
1114,5805,100507
1115,19561,8547
1116,122753,31879
1117,108406,62605
1118,109711,82516
1119,81294,130501
1120,109283,37907
1121,58033,58167
1122,111391,41061
1123,73746,65090
1124,110837,95385
1125,102675,96819
1126,141550,50626
1127,128614,143265
1128,7241,51504
1129,28749,6396
1130,107264,40507
1131,37189,144484
1132,127302,121213
1133,39075,105219
1134,26943,121475
1135,8230,35592
1136,68656,71113
1137,123240,67795
1138,93570,52915
1139,85636,96022
1140,126426,57773
1141,36727,72661
1142,2863,62875
1143,103090,65417
1144,109946,93003
1145,87783,121337
1146,110947,58749
1147,75973,85686
1148,8289,52693
1149,91535,97615
1150,123115,89195
1151,134608,103137
1152,94734,132800
1153,88932,140445
1154,91618,60574
1155,36620,78558
1156,39690,63408
1157,92945,77944
1158,105502,124565
1159,8855,89171
1160,55873,24737
1161,15543,41093
1162,140469,121107
1163,55838,62138
1164,63746,135532
1165,84795,60637
1166,60559,125731
1167,6763,83018
1168,130205,48123
1169,23793,67377
1170,95496,100771
1171,96080,6085
1172,58797,88878
1173,93028,20616
1174,26412,145276
1175,130162,131034
1176,60488,8221
1177,62942,112422
1178,59436,114390
1179,118415,137735
1180,69905,3200
1181,136489,66658
1182,81923,30606
1183,119428,42468
1184,85887,123876
1185,40871,6527
1186,132205,19187
1187,136486,19537
1188,73667,14345
1189,142490,41259
1190,41196,40094
1191,86408,689
1192,144986,39135
1193,120823,125708
1194,30165,62982
1195,95532,27888
1196,120582,85535
1197,106738,130987
1198,111867,22027
1199,130952,89220
1200,56410,43783
1201,112809,423
1202,46100,34780
1203,18538,129042
1204,52399,89719
1205,77895,7388
1206,124589,50500
1207,51435,129922
1208,117298,11601
1209,34450,57163
1210,14812,115349
1211,49069,127209
1212,126945,57339
1213,127323,10227
1214,72693,57446
1215,142909,31502
1216,22797,101161
1217,10672,145173
1218,98434,124572
1219,69375,81833
1220,52189,76202
1221,110101,139676
1222,54701,32580
1223,113382,107440
1224,77133,59738
1225,99518,70185
1226,7446,142594
1227,139863,9693
1228,23692,34615
1229,144074,44822
1230,70042,3846
1231,119317,108773
1232,32498,97510
1233,54191,98423
1234,32464,107837
1235,9947,101504
1236,106721,119867
1237,89861,117686
1238,87534,128039
1239,116003,11240
1240,38557,44810
1241,22052,61823
1242,72985,51661
1243,141636,41571
1244,42909,50884
1245,141331,64423
1246,47591,104895
1247,22658,138470
1248,94923,23991
1249,60012,71071
1250,59088,79425
1251,75684,68433
1252,6543,20198
1253,55116,22472
1254,53003,139562
1255,72580,26710
1256,41081,96799
1257,116332,72690
1258,107602,133676
1259,125003,141934
1260,107810,46807
1261,106669,134392
1262,84608,35651
1263,112220,96770
1264,121172,26014
1265,81784,117139
1266,80896,16232
1267,77661,16496
1268,51305,130326
1269,16569,60093
1270,144133,62642
1271,42182,90134
1272,14548,121826
1273,99201,61456
1274,54249,112787
1275,70779,4156
1276,12428,35275
1277,78378,82866
1278,86933,138360
1279,124352,22906
1280,120940,77549
1281,58497,40806
1282,53331,57343
1283,97762,51149
1284,23697,108437
1285,67788,13695
1286,80048,59596
1287,13521,17198
1288,5039,71270
1289,41589,20054
1290,28755,107430
1291,131848,112997
1292,59679,98198
1293,67719,136703
1294,73942,57283
1295,11333,19016
1296,59592,88569
1297,90967,110237
1298,143907,76146
1299,138248,83798
1300,29940,91322
1301,12783,65868
1302,31464,62063
1303,35683,140861
1304,142193,141444
1305,89238,76531
1306,19195,54973
1307,20257,78558
1308,13409,66185
1309,143153,52397
1310,133935,66102
1311,78568,138911
1312,98919,130950
1313,139333,122084
1314,85486,139888
1315,94662,120737
1316,107629,117648
1317,88526,56815
1318,40324,111179
1319,136686,135641
1320,81901,136431
1321,66700,95444
1322,61478,84830
1323,46171,2419
1324,42049,127893
1325,116776,123439
1326,70182,136469
1327,110631,33320
1328,118132,111103
1329,108711,49011
1330,37455,83457
1331,6996,44693
1332,23878,100503
1333,96283,95255
1334,94991,53250
1335,101233,112319
1336,90849,42429
1337,27527,65242
1338,60559,30182
1339,39698,37384
1340,97593,107136
1341,29804,51622
1342,105322,120792
1343,47538,41920
1344,24567,140097
1345,24670,16093
1346,62931,41210
1347,69134,90054
1348,65204,82481
1349,91052,101698
1350,65383,108165
1351,112060,82868
1352,113817,16482
1353,74177,62536
1354,107009,60763
1355,34129,138547
1356,18507,32144
1357,137826,121251
1358,120932,137304
1359,132350,6000
1360,141643,87813
1361,25091,117561
1362,38670,12940
1363,3013,11476
1364,67055,108580
1365,109335,62627
1366,24246,117506
1367,134660,7612
1368,118683,36991
1369,90571,103605
1370,39026,71206
1371,129294,68534
1372,50929,55067
1373,30657,82054
1374,107116,103031
1375,14399,44920
1376,67881,144300
1377,90887,133047
1378,140927,70313
1379,46089,45371
1380,84809,110186
1381,125040,89893
1382,127075,75881
1383,123875,41783
1384,31684,32416
1385,16197,63316
1386,54927,56015
1387,126294,63497
1388,11997,70791
1389,64173,49135
1390,2903,87332
1391,94562,122857
1392,139174,52313
1393,56796,127528
1394,91866,69266
1395,31388,119491
1396,74267,16875
1397,12228,90574
1398,78079,8242
1399,101795,17899
1400,45960,81151
1401,50428,35572
1402,54568,69918
1403,57845,135464
1404,96581,54218
1405,2286,38328
1406,81753,41400
1407,84442,69943
1408,10407,137177
1409,3232,125943
1410,100494,33192
1411,3302,82898
1412,29416,43219
1413,36815,133338
1414,16918,41644
1415,102888,111589
1416,102695,127028
1417,52356,81577
1418,15103,77753
1419,92958,105644
1420,93974,62988
1421,138372,64349
1422,131641,6981
1423,78856,71178
1424,31895,73530
1425,34062,30271
1426,86103,81213
1427,139599,88507
1428,109486,3546
1429,79902,108107
1430,47252,18390
1431,113696,35754
1432,119399,132799
1433,131900,86907
1434,116466,27605
1435,109738,42211
1436,55941,57811
1437,31578,75349
1438,108961,129930
1439,20775,62639
1440,129194,107926
1441,73627,21127
1442,11895,5086
1443,110343,72999
1444,43489,87698
1445,131800,128530
1446,87704,129044
1447,76694,66105
1448,64216,108030
1449,87077,31234
1450,86986,19220
1451,36009,100002
1452,25434,81878
1453,3678,89942
1454,124068,122767
1455,86646,84934
1456,99844,25097
1457,137758,109132
1458,12216,93264
1459,118789,20889
1460,114189,66644
1461,31999,65904
1462,28930,12170
1463,143449,54275
1464,30088,15682
1465,60476,99019
1466,66421,68181
1467,32889,59738
1468,5928,68699
1469,90443,109156
1470,101275,27887
1471,68480,43853
1472,109915,121483
1473,49358,44499
1474,20202,23661
1475,48539,106567
1476,100996,111850
1477,43843,127288
1478,38504,59596
1479,109363,9247
1480,99452,125107
1481,137140,94866
1482,60840,103137
1483,32648,92707
1484,113429,88032
1485,128379,32650
1486,27767,59485
1487,123202,98574
1488,6184,29821
1489,22509,25599
1490,125264,120957
1491,46989,3419
1492,84248,93912
1493,39061,28354
1494,18212,128338
1495,139285,35345
1496,97628,88478
1497,55226,60198
1498,113670,51828
1499,32785,39198
1500,111020,129974
1501,16383,85635
1502,137981,128036
1503,77510,38240
1504,21170,43378
1505,76414,144725
1506,22635,92520
1507,136910,88262
1508,49764,32966
1509,117489,109134
1510,110854,108929
1511,56506,60768
1512,49095,106866
1513,91829,107117
1514,68894,13219
1515,68567,8538
1516,8547,7083
1517,138911,132871
1518,7152,90536
1519,135791,100170
1520,9014,28396
1521,33888,102662
1522,67852,42726
1523,21525,86048
1524,137624,58674
1525,28255,95289
1526,82568,137703
1527,91605,11476
1528,20664,31670
1529,81018,86096
1530,12749,23014
1531,48291,7507
1532,104854,44277
1533,137467,80935
1534,20377,54630
1535,75655,13989
1536,132950,33621
1537,59235,41587
1538,68080,104663
1539,110356,125036
1540,39396,49800
1541,79431,7999
1542,132840,87418
1543,110775,84228
1544,23515,2547
1545,118232,75000
1546,40586,72777
1547,2855,88908
1548,116963,127441
1549,105545,56425
1550,15423,60462
1551,63853,83272
1552,3457,124711
1553,103819,104935
1554,8482,63638
1555,55510,40674
1556,26319,64617
1557,144093,11654
1558,20390,136425
1559,38825,123277
1560,48406,99307
1561,91542,122300
1562,2067,11246
1563,110350,48299
1564,5397,136409
1565,89623,27938
1566,104171,87385
1567,48326,37392
1568,82389,63642
1569,133422,25003
1570,47349,68914
1571,143392,16886
1572,142445,66403
1573,104616,136770
1574,144325,27072
1575,72114,73975
1576,112064,37474
1577,126568,11061
1578,70649,85973
1579,63653,95027
1580,31860,115388
1581,123354,140098
1582,15023,16363
1583,62400,39025
1584,11004,89487
1585,134019,114269
1586,5722,59453
1587,75960,71225
1588,131407,42076
1589,77937,56365
1590,115447,101675
1591,130382,78619
1592,48478,98675
1593,40176,92990
1594,30966,12538
1595,110186,114398
1596,125947,69072
1597,90017,41546
1598,49701,139994
1599,112356,136348
1600,115206,133180
1601,8447,53127
1602,92762,6611
1603,109892,109892
1604,54788,83270
1605,106604,9414
1606,66451,90229
1607,81426,65868
1608,57617,85022
1609,20639,131511
1610,35279,12552
1611,144201,76166
1612,111918,47146
1613,75316,57132
1614,54226,79880
1615,47494,53800
1616,90078,6510
1617,73166,63847
1618,122742,46641
1619,61551,141916
1620,84753,79355
1621,48351,142091
1622,340,137025
1623,75770,137719
1624,107783,90703
1625,39137,144193
1626,46489,59631
1627,66768,90661
1628,114044,105982
1629,64257,89097
1630,69533,1854
1631,549,68043
1632,4214,72537
1633,134917,108183
1634,76929,98130
1635,125112,95280
1636,78938,101601
1637,129509,125974
1638,75323,12410
1639,69080,129365
1640,3800,86712
1641,109749,4368
1642,108246,92184
1643,47071,26395
1644,72540,137297
1645,83324,52740
1646,94849,17310
1647,106086,53974
1648,48294,39677
1649,79059,74802
1650,83370,68300
1651,14215,108442
1652,131797,13129
1653,5755,87827
1654,62821,63269
1655,141214,64915
1656,136273,47322
1657,112890,109315
1658,4245,88803
1659,114890,141339
1660,40560,123844
1661,20606,96707
1662,62888,41186
1663,64979,92475
1664,116276,32920
1665,1648,10776
