cust,prod,day,month,year,state,quant,date
Boo,Dates,31,7,2016,NJ,762,7/31/16
Boo,Eggs,17,12,2018,CT,990,12/17/18
Boo,Butter,3,4,2018,PA,453,4/3/18
Boo,Cherry,18,4,2019,NJ,9,4/18/19
Boo,Dates,22,4,2016,NJ,402,4/22/16
Boo,Dates,4,11,2016,NY,394,11/4/16
Boo,Eggs,8,11,2017,PA,798,11/8/17
Boo,Apple,2,4,2020,NJ,979,4/2/20
Boo,Cherry,13,10,2020,NY,688,10/13/20
Boo,Apple,10,4,2016,CT,563,4/10/16
Boo,Grapes,4,7,2017,NY,835,7/4/17
Boo,Dates,17,7,2016,CT,56,7/17/16
Boo,Butter,12,11,2018,NJ,178,11/12/18
Boo,Grapes,19,10,2016,PA,886,10/19/16
Boo,Grapes,15,11,2019,NY,295,11/15/19
Boo,Fish,20,3,2019,PA,159,3/20/19
Boo,Grapes,6,4,2016,CT,552,4/6/16
Boo,Eggs,21,8,2016,PA,150,8/21/16
Boo,Butter,11,10,2016,NY,993,10/11/16
Boo,Apple,27,3,2020,NJ,8,3/27/20
Boo,Ice,7,6,2016,NJ,603,6/7/16
Boo,Butter,2,2,2016,NY,461,2/2/16
Boo,Ham,5,11,2020,NJ,393,11/5/20
Boo,Dates,6,1,2016,PA,381,1/6/16
Boo,Eggs,30,12,2019,NY,954,12/30/19
Boo,Ice,23,3,2017,NY,116,3/23/17
Boo,Cherry,28,6,2018,CT,228,6/28/18
Boo,Eggs,17,1,2017,NJ,817,1/17/17
Boo,Dates,14,3,2018,NJ,519,3/14/18
Boo,Jellies,22,6,2019,NJ,384,6/22/19
Boo,Fish,3,11,2020,NY,805,11/3/20
Boo,Cherry,4,12,2019,PA,83,12/4/19
Boo,Ham,9,3,2018,NJ,700,3/9/18
Boo,Ice,9,2,2019,PA,56,2/9/19
Boo,Jellies,4,6,2019,PA,496,6/4/19
Boo,Cherry,15,7,2019,NJ,486,7/15/19
Boo,Fish,6,4,2016,NJ,777,4/6/16
Boo,Eggs,1,7,2020,CT,816,7/1/20
Boo,Eggs,11,4,2019,NY,830,4/11/19
Boo,Dates,21,1,2018,NY,603,1/21/18
Boo,Butter,17,11,2016,NY,793,11/17/16
Boo,Grapes,25,8,2018,PA,40,8/25/18
Boo,Butter,9,2,2020,CT,180,2/9/20
Boo,Fish,10,10,2020,NJ,14,10/10/20
Boo,Jellies,25,9,2018,CT,298,9/25/18
Boo,Cherry,14,1,2016,NJ,269,1/14/16
Boo,Cherry,2,9,2016,NY,99,9/2/16
Boo,Dates,4,12,2016,PA,174,12/4/16
Boo,Eggs,2,6,2016,PA,962,6/2/16
Boo,Apple,15,3,2016,NY,403,3/15/16
Boo,Jellies,14,4,2016,NY,936,4/14/16
Boo,Butter,11,5,2017,CT,158,5/11/17
Boo,Apple,19,12,2016,CT,407,12/19/16
Boo,Butter,25,6,2019,PA,302,6/25/19
Boo,Ice,19,6,2017,NY,977,6/19/17
Boo,Ham,27,5,2019,NJ,291,5/27/19
Boo,Ice,6,7,2018,PA,17,7/6/18
Boo,Ice,21,4,2018,PA,398,4/21/18
Boo,Jellies,21,8,2020,NY,249,8/21/20
Boo,Eggs,14,9,2017,PA,92,9/14/17
Boo,Eggs,26,3,2020,CT,480,3/26/20
Boo,Jellies,28,5,2018,NJ,167,5/28/18
Boo,Jellies,28,11,2020,CT,520,11/28/20
Boo,Apple,10,2,2016,NJ,361,2/10/16
Boo,Cherry,20,7,2018,CT,774,7/20/18
Boo,Butter,3,4,2020,CT,488,4/3/20
Boo,Apple,9,1,2017,NY,399,1/9/17
Boo,Apple,28,7,2016,NJ,869,7/28/16
Boo,Fish,11,10,2016,NJ,131,10/11/16
Boo,Fish,31,8,2020,NJ,580,8/31/20
Boo,Grapes,14,6,2017,NJ,517,6/14/17
Boo,Cherry,10,12,2018,PA,159,12/10/18
Boo,Apple,9,4,2017,PA,213,4/9/17
Boo,Jellies,4,1,2016,NY,739,1/4/16
Boo,Butter,8,6,2019,PA,500,6/8/19
Boo,Ice,20,5,2016,PA,73,5/20/16
Boo,Grapes,1,10,2017,CT,84,10/1/17
Boo,Jellies,26,8,2017,PA,840,8/26/17
Boo,Fish,24,12,2018,NJ,859,12/24/18
Boo,Ham,18,2,2018,CT,470,2/18/18
Boo,Eggs,18,12,2020,NJ,467,12/18/20
Boo,Jellies,22,2,2019,PA,591,2/22/19
Boo,Butter,3,10,2017,PA,352,10/3/17
Boo,Dates,4,6,2019,NY,674,6/4/19
Boo,Fish,2,2,2016,NY,336,2/2/16
Boo,Dates,22,9,2018,NY,110,9/22/18
Boo,Cherry,11,12,2016,NY,530,12/11/16
Boo,Fish,11,6,2017,NJ,163,6/11/17
Boo,Grapes,28,10,2017,PA,751,10/28/17
Boo,Cherry,13,7,2018,NJ,162,7/13/18
Boo,Eggs,11,12,2016,CT,128,12/11/16
Boo,Eggs,21,3,2016,NY,168,3/21/16
Boo,Jellies,26,11,2019,NY,3,11/26/19
Boo,Grapes,30,6,2020,PA,384,6/30/20
Boo,Fish,23,7,2019,NY,269,7/23/19
Boo,Ham,5,3,2017,CT,444,3/5/17
Boo,Ice,16,6,2017,CT,419,6/16/17
Boo,Fish,10,8,2016,NJ,484,8/10/16
Boo,Jellies,15,10,2020,NJ,504,10/15/20
Boo,Ice,1,6,2019,NY,582,6/1/19
Boo,Dates,30,3,2019,CT,103,3/30/19
Boo,Jellies,15,6,2017,NY,381,6/15/17
Boo,Fish,1,12,2016,PA,287,12/1/16
Boo,Eggs,16,5,2020,PA,22,5/16/20
Boo,Grapes,31,12,2018,CT,181,12/31/18
Boo,Butter,19,8,2019,CT,907,8/19/19
Boo,Grapes,14,1,2019,PA,958,1/14/19
Boo,Apple,10,9,2016,CT,464,9/10/16
Boo,Ham,22,10,2020,CT,295,10/22/20
Boo,Dates,24,2,2019,CT,331,2/24/19
Boo,Ice,16,10,2019,NY,45,10/16/19
Boo,Butter,9,6,2017,NY,846,6/9/17
Boo,Jellies,15,3,2016,NJ,489,3/15/16
Boo,Apple,20,1,2018,NJ,650,1/20/18
Boo,Eggs,29,10,2018,PA,560,10/29/18
Boo,Jellies,10,5,2016,PA,484,5/10/16
Boo,Eggs,8,12,2019,NY,427,12/8/19
Boo,Apple,4,4,2020,NY,620,4/4/20
Boo,Apple,31,5,2020,PA,302,5/31/20
Boo,Cherry,28,3,2018,CT,113,3/28/18
Boo,Ice,1,3,2016,CT,430,3/1/16
Boo,Fish,21,2,2018,CT,287,2/21/18
Boo,Jellies,15,7,2017,PA,406,7/15/17
Boo,Eggs,6,9,2019,NY,734,9/6/19
Boo,Jellies,28,9,2018,CT,590,9/28/18
Boo,Eggs,29,3,2017,NY,929,3/29/17
Boo,Grapes,26,1,2019,NY,596,1/26/19
Boo,Cherry,12,8,2019,NJ,982,8/12/19
Boo,Cherry,27,11,2020,NY,32,11/27/20
Boo,Dates,23,9,2018,NJ,302,9/23/18
Boo,Apple,13,11,2019,NJ,16,11/13/19
Boo,Grapes,24,9,2016,NY,939,9/24/16
Boo,Apple,18,10,2018,NJ,318,10/18/18
Boo,Fish,17,12,2019,CT,925,12/17/19
Boo,Apple,17,4,2018,CT,870,4/17/18
Boo,Ham,5,2,2019,PA,847,2/5/19
Boo,Cherry,13,7,2020,NJ,910,7/13/20
Boo,Jellies,14,3,2020,NJ,778,3/14/20
Boo,Dates,3,3,2020,CT,947,3/3/20
Boo,Cherry,24,3,2018,NJ,419,3/24/18
Boo,Ham,8,11,2019,PA,899,11/8/19
Boo,Jellies,7,7,2017,PA,106,7/7/17
Boo,Grapes,5,12,2016,PA,432,12/5/16
Boo,Dates,26,4,2018,NJ,52,4/26/18
Boo,Eggs,29,10,2019,NJ,90,10/29/19
Boo,Dates,27,5,2018,PA,38,5/27/18
Boo,Grapes,13,8,2016,CT,229,8/13/16
Boo,Ham,23,5,2020,PA,233,5/23/20
Boo,Eggs,14,8,2016,CT,726,8/14/16
Boo,Ice,8,6,2020,NY,158,6/8/20
Boo,Eggs,25,10,2017,NY,256,10/25/17
Boo,Ham,29,1,2019,PA,960,1/29/19
Boo,Grapes,23,6,2020,CT,844,6/23/20
Boo,Grapes,15,12,2019,PA,323,12/15/19
Boo,Jellies,7,4,2018,PA,976,4/7/18
Boo,Grapes,31,12,2016,NJ,861,12/31/16
Boo,Jellies,6,9,2018,NJ,418,9/6/18
Boo,Eggs,17,3,2016,NJ,947,3/17/16
Boo,Eggs,18,7,2016,NJ,459,7/18/16
Boo,Grapes,30,9,2017,NJ,391,9/30/17
Boo,Dates,14,12,2017,PA,343,12/14/17
Boo,Grapes,20,5,2019,PA,253,5/20/19
Boo,Jellies,11,2,2020,NJ,145,2/11/20
Boo,Butter,28,9,2020,NY,305,9/28/20
Boo,Fish,9,8,2017,NY,27,8/9/17
Boo,Ice,5,3,2018,CT,824,3/5/18
Boo,Butter,13,6,2018,NY,655,6/13/18
Boo,Ham,27,12,2016,NY,657,12/27/16
Boo,Apple,15,10,2019,CT,728,10/15/19
Boo,Grapes,15,9,2019,NJ,55,9/15/19
Boo,Ice,11,5,2019,NY,203,5/11/19
Boo,Butter,6,1,2018,NY,735,1/6/18
Boo,Eggs,28,5,2018,NY,296,5/28/18
Boo,Butter,16,3,2017,NJ,412,3/16/17
Boo,Jellies,6,1,2017,CT,858,1/6/17
Boo,Ice,2,6,2016,CT,691,6/2/16
Boo,Ham,3,2,2017,NJ,186,2/3/17
Boo,Ham,17,9,2018,PA,422,9/17/18
Boo,Butter,25,11,2019,PA,155,11/25/19
Boo,Grapes,8,7,2019,PA,417,7/8/19
Boo,Jellies,22,10,2017,NY,562,10/22/17
Boo,Jellies,6,9,2016,PA,252,9/6/16
Boo,Eggs,21,7,2020,CT,459,7/21/20
Boo,Dates,14,11,2019,PA,982,11/14/19
Boo,Eggs,24,6,2019,PA,883,6/24/19
Boo,Dates,10,11,2019,NY,444,11/10/19
Boo,Ham,17,1,2017,CT,278,1/17/17
Boo,Eggs,24,5,2018,CT,823,5/24/18
Boo,Ham,17,10,2017,CT,612,10/17/17
Boo,Jellies,20,12,2018,NY,411,12/20/18
Boo,Ice,18,9,2019,PA,985,9/18/19
Boo,Dates,26,3,2018,NJ,454,3/26/18
Boo,Eggs,26,12,2017,CT,11,12/26/17
Boo,Ham,4,11,2017,NJ,928,11/4/17
Boo,Fish,16,1,2017,NY,312,1/16/17
Boo,Dates,24,3,2020,NJ,609,3/24/20
Boo,Jellies,27,6,2016,PA,238,6/27/16
Boo,Apple,9,8,2019,CT,589,8/9/19
Boo,Eggs,10,10,2016,PA,721,10/10/16
Boo,Butter,17,9,2017,NJ,172,9/17/17
Boo,Fish,25,8,2016,NJ,210,8/25/16
Boo,Eggs,28,8,2020,CT,789,8/28/20
Boo,Apple,20,4,2017,CT,978,4/20/17
Boo,Dates,20,10,2020,PA,891,10/20/20
Boo,Butter,6,9,2016,NY,543,9/6/16
Boo,Dates,2,11,2016,CT,458,11/2/16
Boo,Fish,13,12,2020,NJ,230,12/13/20
Boo,Eggs,16,2,2020,CT,780,2/16/20
Boo,Cherry,13,9,2019,NY,472,9/13/19
Boo,Jellies,25,10,2020,NY,6,10/25/20
Boo,Grapes,4,5,2018,CT,719,5/4/18
Boo,Jellies,13,9,2020,PA,322,9/13/20
Boo,Dates,30,5,2016,NJ,119,5/30/16
Boo,Eggs,16,3,2016,NJ,740,3/16/16
Boo,Fish,1,12,2018,CT,306,12/1/18
Boo,Grapes,4,4,2018,NJ,795,4/4/18
Boo,Ham,28,11,2016,PA,377,11/28/16
Boo,Grapes,3,11,2017,CT,67,11/3/17
Boo,Grapes,9,3,2016,PA,750,3/9/16
Boo,Eggs,5,3,2019,CT,823,3/5/19
Boo,Fish,14,6,2019,CT,997,6/14/19
Boo,Apple,15,2,2020,NY,214,2/15/20
Boo,Fish,16,11,2018,PA,792,11/16/18
Boo,Ham,17,6,2018,NJ,654,6/17/18
Boo,Fish,5,3,2018,NJ,349,3/5/18
Boo,Ham,1,7,2017,PA,807,7/1/17
Boo,Apple,21,10,2019,NY,940,10/21/19
Boo,Butter,7,12,2019,NJ,659,12/7/19
Boo,Eggs,4,9,2017,CT,851,9/4/17
Boo,Jellies,21,8,2016,NY,708,8/21/16
Boo,Butter,12,6,2018,NY,826,6/12/18
Boo,Ham,19,6,2019,PA,962,6/19/19
Boo,Apple,28,9,2018,NJ,841,9/28/18
Boo,Fish,13,5,2016,NY,237,5/13/16
Boo,Butter,11,5,2017,CT,424,5/11/17
Boo,Grapes,12,6,2018,NY,619,6/12/18
Boo,Fish,5,11,2016,NY,561,11/5/16
Boo,Cherry,23,2,2020,NY,191,2/23/20
Boo,Grapes,11,3,2016,CT,997,3/11/16
Boo,Cherry,26,10,2018,NY,656,10/26/18
Boo,Eggs,10,2,2020,NJ,910,2/10/20
Boo,Butter,9,1,2016,CT,833,1/9/16
Boo,Ice,11,12,2017,NY,370,12/11/17
Boo,Dates,27,6,2017,NY,16,6/27/17
Boo,Grapes,24,10,2016,PA,998,10/24/16
Boo,Grapes,24,4,2020,CT,526,4/24/20
Boo,Grapes,23,8,2020,CT,698,8/23/20
Boo,Butter,24,11,2019,NY,562,11/24/19
Boo,Jellies,2,9,2018,CT,279,9/2/18
Boo,Dates,18,2,2016,CT,577,2/18/16
Boo,Apple,8,3,2016,PA,618,3/8/16
Boo,Ham,11,6,2019,NY,553,6/11/19
Boo,Grapes,8,10,2017,PA,684,10/8/17
Boo,Apple,15,7,2017,NJ,10,7/15/17
Boo,Butter,8,10,2017,NY,178,10/8/17
Boo,Dates,19,12,2017,NJ,226,12/19/17
Boo,Jellies,26,1,2016,CT,653,1/26/16
Boo,Dates,31,3,2017,NY,166,3/31/17
Boo,Cherry,8,8,2020,PA,411,8/8/20
Boo,Ham,3,2,2019,NY,732,2/3/19
Boo,Fish,19,1,2019,NJ,587,1/19/19
Boo,Ham,17,11,2019,NY,88,11/17/19
Boo,Grapes,30,7,2018,NJ,416,7/30/18
Boo,Butter,23,7,2016,NY,160,7/23/16
Boo,Grapes,12,7,2019,NY,703,7/12/19
Boo,Fish,29,4,2018,PA,712,4/29/18
Boo,Eggs,30,7,2019,NY,836,7/30/19
Boo,Ice,9,6,2016,CT,612,6/9/16
Boo,Fish,11,3,2020,PA,325,3/11/20
Boo,Eggs,21,5,2019,NJ,850,5/21/19
Boo,Ham,20,5,2017,NJ,370,5/20/17
Boo,Dates,17,7,2020,CT,188,7/17/20
Boo,Grapes,21,1,2016,PA,234,1/21/16
Boo,Fish,31,12,2016,CT,932,12/31/16
Boo,Ice,25,2,2016,NJ,776,2/25/16
Boo,Jellies,18,8,2018,NY,621,8/18/18
Boo,Eggs,10,11,2019,NJ,124,11/10/19
Boo,Eggs,5,10,2017,NJ,150,10/5/17
Boo,Cherry,17,1,2020,CT,363,1/17/20
Boo,Fish,24,4,2019,NY,414,4/24/19
Boo,Jellies,29,10,2016,NJ,111,10/29/16
Boo,Apple,10,12,2018,NY,639,12/10/18
Boo,Jellies,21,7,2020,NY,52,7/21/20
Boo,Butter,1,8,2016,CT,94,8/1/16
Boo,Butter,8,4,2020,NY,594,4/8/20
Boo,Eggs,3,3,2017,CT,377,3/3/17
Boo,Ice,29,3,2019,CT,352,3/29/19
Boo,Grapes,19,6,2017,NJ,218,6/19/17
Boo,Butter,1,8,2017,PA,835,8/1/17
Boo,Butter,12,8,2016,NY,72,8/12/16
Boo,Fish,29,5,2019,CT,777,5/29/19
Boo,Grapes,9,8,2016,NY,890,8/9/16
Boo,Ham,6,7,2019,CT,832,7/6/19
Boo,Butter,16,7,2019,CT,88,7/16/19
Boo,Cherry,13,2,2020,NY,268,2/13/20
Boo,Ham,11,2,2020,PA,484,2/11/20
Boo,Jellies,17,3,2017,CT,696,3/17/17
Boo,Dates,6,6,2019,CT,463,6/6/19
Boo,Jellies,24,9,2017,CT,77,9/24/17
Boo,Grapes,4,2,2016,NY,569,2/4/16
Boo,Apple,4,4,2019,PA,810,4/4/19
Boo,Dates,4,4,2019,NJ,464,4/4/19
Boo,Ham,19,4,2018,CT,232,4/19/18
Boo,Eggs,6,3,2020,NJ,515,3/6/20
Boo,Cherry,15,1,2020,NJ,435,1/15/20
Boo,Jellies,13,6,2019,PA,35,6/13/19
Boo,Cherry,23,3,2017,CT,695,3/23/17
Boo,Eggs,27,9,2017,PA,70,9/27/17
Boo,Dates,27,9,2020,NJ,802,9/27/20
Boo,Ham,6,9,2018,CT,63,9/6/18
Boo,Grapes,3,10,2016,NY,359,10/3/16
Boo,Butter,1,11,2019,PA,914,11/1/19
Boo,Grapes,6,7,2020,NY,302,7/6/20
Boo,Cherry,9,2,2018,PA,508,2/9/18
Boo,Apple,11,10,2020,PA,229,10/11/20
Boo,Butter,19,7,2017,NJ,695,7/19/17
Boo,Eggs,2,6,2019,NJ,349,6/2/19
Boo,Butter,27,5,2017,NY,921,5/27/17
Boo,Grapes,3,11,2019,NJ,521,11/3/19
Boo,Jellies,15,6,2016,PA,350,6/15/16
Boo,Butter,4,9,2017,NY,582,9/4/17
Boo,Jellies,8,7,2017,PA,448,7/8/17
Boo,Eggs,24,1,2017,CT,224,1/24/17
Boo,Fish,17,5,2016,NY,381,5/17/16
Boo,Grapes,22,2,2018,NY,394,2/22/18
Boo,Butter,16,9,2017,CT,226,9/16/17
Boo,Butter,11,6,2018,CT,713,6/11/18
Boo,Ham,19,7,2018,PA,272,7/19/18
